gueltigAb, von       ,bis      ,pauschale ,promille ,offset
2025-04-22,      0.01 ,150      ,       31 ,         ,      
2025-04-22,    150.01 ,300      ,       59 ,         ,      
2025-04-22,    300.01 ,700      ,       84 ,         ,      
2025-04-22,    700.01 ,2000     ,      140 ,         ,      
2025-04-22,   2000.01 ,3500     ,      224 ,         ,      
2025-04-22,   3500.01 ,7000     ,      412 ,         ,      
2025-04-22,   7000.01 ,35000    ,      974 ,         ,      
2025-04-22,  35000.01 ,70000    ,     1914 ,         ,      
2025-04-22,  70000.01 ,140000   ,     3829 ,         ,      
2025-04-22, 140000.01 ,210000   ,     5746 ,         ,      
2025-04-22, 210000.01 ,280000   ,     7661 ,         ,      
2025-04-22, 280000.01 ,350000   ,     9576 ,         ,      
2025-04-22, 350000.01 ,infinity ,          ,      12 ,  6964
