gueltigAb, von       ,bis       ,pauschale ,promille ,offset
2024-04-22,      0.01 ,2000      ,      228 ,         ,      
2024-04-22,   2000.01 ,3500      ,      381 ,         ,      
2024-04-22,   3500.01 ,7000      ,      762 ,         ,      
2024-04-22,   7000.01 ,35000     ,     1526 ,         ,      
2024-04-22,  35000.01 ,70000     ,     3051 ,         ,      
2024-04-22,  70000.01 ,140000    ,     6104 ,         ,      
2024-04-22, 140000.01 ,210000    ,     9156 ,         ,      
2024-04-22, 210000.01 ,280000    ,    12211 ,         ,      
2024-04-22, 280000.01 ,350000    ,    15263 ,         ,      
2024-04-22, 350000.01 ,inifinity ,          ,      24 ,  8096
