gueltigAb  ,von        ,bis      ,entlohnung ,promille ,offset
2024-04-22 ,      0.01 ,40       ,      17.9 ,         ,   
2024-04-22 ,     40.01 ,70       ,      26.6 ,         ,   
2024-04-22 ,     70.01 ,110      ,      35.1 ,         ,   
2024-04-22 ,    110.01 ,180      ,      38.7 ,         ,   
2024-04-22 ,    180.01 ,360      ,      43.7 ,         ,   
2024-04-22 ,    360.01 ,730      ,      52.5 ,         ,   
2024-04-22 ,    730.01 ,1090     ,      69.8 ,         ,   
2024-04-22 ,   1090.01 ,1820     ,      78.6 ,         ,   
2024-04-22 ,   1820.01 ,3630     ,      87   ,         ,   
2024-04-22 ,   3630.01 ,5450     ,     104.6 ,         ,   
2024-04-22 ,   5450.01 ,7270     ,     130.2 ,         ,   
2024-04-22 ,   7270.01 ,10170    ,     173.8 ,         ,   
2024-04-22 ,  10170.01 ,11620    ,     191.7 ,         ,   
2024-04-22 ,  11620.01 ,13070    ,     209.6 ,         ,   
2024-04-22 ,  13070.01 ,14520    ,     227.5 ,         ,   
2024-04-22 ,  14520.01 ,15970    ,     245.4 ,         ,   
2024-04-22 ,  15970.01 ,17420    ,     263.3 ,         ,   
2024-04-22 ,  17420.01 ,18870    ,     281.2 ,         ,   
2024-04-22 ,  18870.01 ,20320    ,     299.1 ,         ,   
2024-04-22 ,  20320.01 ,21770    ,     317   ,         ,   
2024-04-22 ,  21770.01 ,23220    ,     334.9 ,         ,   
2024-04-22 ,  23220.01 ,24670    ,     352.8 ,         ,   
2024-04-22 ,  24670.01 ,26120    ,     370.7 ,         ,   
2024-04-22 ,  26120.01 ,27570    ,     388.6 ,         ,   
2024-04-22 ,  27570.01 ,29020    ,     406.5 ,         ,   
2024-04-22 ,  29020.01 ,30470    ,     424.4 ,         ,   
2024-04-22 ,  30470.01 ,31920    ,     442.3 ,         ,   
2024-04-22 ,  31920.01 ,33370    ,     460.2 ,         ,   
2024-04-22 ,  33370.01 ,34820    ,     478.1 ,         ,   
2024-04-22 ,  34820.01 ,36340    ,     496   ,         ,   
2024-04-22 ,  36340.01 ,363360   ,       0   ,    0.5  ,477.83
2024-04-22 , 363360.01 ,3251360  ,       0   ,    0.25 ,568.66
2024-04-22 ,3957960.01 ,Infinity ,    1558.2 ,         ,   
