gueltigAb  ,von         ,bis      ,entlohnung ,promille ,offset
2024-04-22 ,       0.01 ,40       ,      35.1 ,         ,    
2024-04-22 ,      40.01 ,70       ,      52.5 ,         ,    
2024-04-22 ,      70.01 ,110      ,      69.8 ,         ,    
2024-04-22 ,     110.01 ,180      ,      76.8 ,         ,    
2024-04-22 ,     180.01 ,360      ,      87   ,         ,    
2024-04-22 ,     360.01 ,730      ,     104.6 ,         ,    
2024-04-22 ,     730.01 ,1090     ,     139.1 ,         ,    
2024-04-22 ,    1090.01 ,1820     ,     156.2 ,         ,    
2024-04-22 ,    1820.01 ,3630     ,     173.8 ,         ,    
2024-04-22 ,    3630.01 ,5450     ,     208.2 ,         ,    
2024-04-22 ,    5450.01 ,7270     ,     260.2 ,         ,    
2024-04-22 ,    7270.01 ,10170    ,     346.6 ,         ,    
2024-04-22 ,   10170.01 ,11620    ,     381.7 ,         ,    
2024-04-22 ,   11620.01 ,13070    ,     416.8 ,         ,    
2024-04-22 ,   13070.01 ,14520    ,     451.9 ,         ,    
2024-04-22 ,   14520.01 ,15970    ,     487   ,         ,    
2024-04-22 ,   15970.01 ,17420    ,     522.1 ,         ,    
2024-04-22 ,   17420.01 ,18870    ,     557.2 ,         ,    
2024-04-22 ,   18870.01 ,20320    ,     592.3 ,         ,    
2024-04-22 ,   20320.01 ,21770    ,     627.4 ,         ,    
2024-04-22 ,   21770.01 ,23220    ,     662.5 ,         ,    
2024-04-22 ,   23220.01 ,24670    ,     697.6 ,         ,    
2024-04-22 ,   24670.01 ,26120    ,     732.7 ,         ,    
2024-04-22 ,   26120.01 ,27570    ,     767.8 ,         ,    
2024-04-22 ,   27570.01 ,29020    ,     802.9 ,         ,    
2024-04-22 ,   29020.01 ,30470    ,     838   ,         ,    
2024-04-22 ,   30470.01 ,31920    ,     873.1 ,         ,    
2024-04-22 ,   31920.01 ,33370    ,     908.2 ,         ,    
2024-04-22 ,   33370.01 ,34820    ,     943.3 ,         ,    
2024-04-22 ,   34820.01 ,36340    ,     978.4 ,         ,    
2024-04-22 ,   36340.01 ,363360   ,       0   ,     1   , 942.06
2024-04-22 ,  363360.01 ,32698169 ,       0   ,     0.5 ,1123.72
2024-04-22 ,39293660.01 ,Infinity ,   20770.6 ,         ,
