gueltigAb  ,von         ,bis      ,entlohnung ,promille ,offset
2024-04-22 ,       0.01 ,40       ,      43.7 ,         ,    
2024-04-22 ,      40.01 ,70       ,      65.4 ,         ,    
2024-04-22 ,      70.01 ,110      ,      87   ,         ,    
2024-04-22 ,     110.01 ,180      ,      96   ,         ,    
2024-04-22 ,     180.01 ,360      ,     108.6 ,         ,    
2024-04-22 ,     360.01 ,730      ,     130.2 ,         ,    
2024-04-22 ,     730.01 ,1090     ,     173.8 ,         ,    
2024-04-22 ,    1090.01 ,1820     ,     195.2 ,         ,    
2024-04-22 ,    1820.01 ,3630     ,     216.9 ,         ,    
2024-04-22 ,    3630.01 ,5450     ,     260.2 ,         ,    
2024-04-22 ,    5450.01 ,7270     ,     325   ,         ,    
2024-04-22 ,    7270.01 ,10170    ,     433.2 ,         ,    
2024-04-22 ,   10170.01 ,11620    ,     476.9 ,         ,    
2024-04-22 ,   11620.01 ,13070    ,     520.6 ,         ,    
2024-04-22 ,   13070.01 ,14520    ,     564.3 ,         ,    
2024-04-22 ,   14520.01 ,15970    ,     608   ,         ,    
2024-04-22 ,   15970.01 ,17420    ,     651.7 ,         ,    
2024-04-22 ,   17420.01 ,18870    ,     695.4 ,         ,    
2024-04-22 ,   18870.01 ,20320    ,     739.1 ,         ,    
2024-04-22 ,   20320.01 ,21770    ,     782.8 ,         ,    
2024-04-22 ,   21770.01 ,23220    ,     826.5 ,         ,    
2024-04-22 ,   23220.01 ,24670    ,     870.2 ,         ,    
2024-04-22 ,   24670.01 ,26120    ,     913.9 ,         ,    
2024-04-22 ,   26120.01 ,27570    ,     957.6 ,         ,    
2024-04-22 ,   27570.01 ,29020    ,    1001.3 ,         ,    
2024-04-22 ,   29020.01 ,30470    ,    1045   ,         ,    
2024-04-22 ,   30470.01 ,31920    ,    1088.7 ,         ,    
2024-04-22 ,   31920.01 ,33370    ,    1132.4 ,         ,    
2024-04-22 ,   33370.01 ,34820    ,    1176.1 ,         ,    
2024-04-22 ,   34820.01 ,36340    ,    1219.8 ,         ,    
2024-04-22 ,   36340.01 ,363360   ,       0   ,   1.25  ,1174.375
2024-04-22 ,  363360.01 ,32700960 ,       0   ,   0.625 ,1401.5
2024-04-22 ,39293660.01 ,Infinity ,   25963.2 ,         ,
