gueltigAb  ,von         ,bis      ,entlohnung ,promille ,offset
2024-04-22 ,       0.01 ,40       ,      52.5 ,         ,    
2024-04-22 ,      40.01 ,70       ,      78.6 ,         ,    
2024-04-22 ,      70.01 ,110      ,     104.6 ,         ,    
2024-04-22 ,     110.01 ,180      ,     115   ,         ,    
2024-04-22 ,     180.01 ,360      ,     130.2 ,         ,    
2024-04-22 ,     360.01 ,730      ,     156.2 ,         ,    
2024-04-22 ,     730.01 ,1090     ,     208.2 ,         ,    
2024-04-22 ,    1090.01 ,1820     ,     234.4 ,         ,    
2024-04-22 ,    1820.01 ,3630     ,     260.2 ,         ,    
2024-04-22 ,    3630.01 ,5450     ,     312.2 ,         ,    
2024-04-22 ,    5450.01 ,7270     ,     390   ,         ,    
2024-04-22 ,    7270.01 ,10170    ,     519.6 ,         ,    
2024-04-22 ,   10170.01 ,11620    ,     572.1 ,         ,    
2024-04-22 ,   11620.01 ,13070    ,     624.6 ,         ,    
2024-04-22 ,   13070.01 ,14520    ,     677.1 ,         ,    
2024-04-22 ,   14520.01 ,15970    ,     729.6 ,         ,    
2024-04-22 ,   15970.01 ,17420    ,     782.1 ,         ,    
2024-04-22 ,   17420.01 ,18870    ,     834.6 ,         ,    
2024-04-22 ,   18870.01 ,20320    ,     887.1 ,         ,    
2024-04-22 ,   20320.01 ,21770    ,     939.6 ,         ,    
2024-04-22 ,   21770.01 ,23220    ,     992.1 ,         ,    
2024-04-22 ,   23220.01 ,24670    ,    1044.6 ,         ,    
2024-04-22 ,   24670.01 ,26120    ,    1097.1 ,         ,    
2024-04-22 ,   26120.01 ,27570    ,    1149.6 ,         ,    
2024-04-22 ,   27570.01 ,29020    ,    1202.1 ,         ,    
2024-04-22 ,   29020.01 ,30470    ,    1254.6 ,         ,    
2024-04-22 ,   30470.01 ,31920    ,    1307.1 ,         ,    
2024-04-22 ,   31920.01 ,33370    ,    1359.6 ,         ,    
2024-04-22 ,   33370.01 ,34820    ,    1412.1 ,         ,    
2024-04-22 ,   34820.01 ,36340    ,    1464.6 ,         ,    
2024-04-22 ,   36340.01 ,363360   ,       0   ,    1.5  ,1410.09
2024-04-22 ,  363360.01 ,32700693 ,       0   ,    0.75 ,1682.58
2024-04-22 ,39298640.01 ,Infinity ,   31155.8 ,         ,    
